Month,Year,ISBN,TotalUnitsSold,TotalRevenue
January,2025,9781649374042,45,1214.55
January,2025,9781649376268,38,1139.62
January,2025,9780593655030,32,960.00
January,2025,9781501110375,35,594.65
January,2025,9780486280735,12,119.88
January,2025,9780486277826,8,63.92
January,2025,9780735220201,28,784.00
January,2025,9780593243732,30,540.00
January,2025,9780062820175,22,593.78
January,2025,9781476753188,40,1080.00
February,2025,9781649374042,52,1403.48
February,2025,9781649376268,48,1439.52
February,2025,9780593655030,28,840.00
February,2025,9781501110375,40,679.60
February,2025,9780486280735,10,99.90
February,2025,9780486272624,4,35.80
February,2025,9780486277826,6,47.94
February,2025,9780735220201,25,700.00
February,2025,9780593243732,35,630.00
February,2025,9780316485616,30,509.70
March,2025,9781649374042,48,1295.52
March,2025,9781649376268,42,1259.58
March,2025,9780593655030,35,1050.00
March,2025,9781501110375,38,645.62
March,2025,9780486280735,8,79.92
March,2025,9780486272624,2,17.90
March,2025,9780486277826,5,39.95
March,2025,9780735220201,30,840.00
March,2025,9780525559474,25,650.00
March,2025,9781524763169,15,487.50
April,2025,9781649374042,55,1484.45
April,2025,9781649376268,50,1499.50
April,2025,9780593655030,40,1200.00
April,2025,9781501110375,42,713.58
April,2025,9780486280735,6,59.94
April,2025,9780486272624,1,8.95
April,2025,9780486278564,3,38.97
April,2025,9780486277826,4,31.96
April,2025,9780735220201,35,980.00
April,2025,9780593237465,38,722.00
May,2025,9781649374042,22,593.78
May,2025,9781649376268,12,359.88
May,2025,9780593655030,12,360.00
May,2025,9781501110375,9,152.91
May,2025,9780486280735,4,39.96
May,2025,9780486272624,0,0.00
May,2025,9780486277826,4,31.96
May,2025,9780735220201,10,280.00
May,2025,9780525559474,8,208.00
May,2025,9780593243732,7,126.00
