Date,ISBN,QuantitySold
2025-05-05,9780486280735,2
2025-05-05,9781649374042,5
2025-05-05,9780593655030,3
2025-05-05,9780735220201,2
2025-05-05,9781501110375,4
2025-05-05,9780486277826,1
2025-05-05,9780062820175,3
2025-05-05,9781476753188,4
2025-05-05,9780593243732,3
2025-05-05,9780486274628,2
2025-05-06,9781649374042,6
2025-05-06,9781649376268,4
2025-05-06,9780593655030,2
2025-05-06,9781501110375,3
2025-05-06,9780316485616,2
2025-05-06,9780486448181,1
2025-05-06,9780525559474,3
2025-05-06,9780593237465,2
2025-05-06,9780812968583,1
2025-05-06,9780486277833,2
2025-05-07,9781649376268,5
2025-05-07,9781649374042,4
2025-05-07,9780593655030,4
2025-05-07,9780735220201,3
2025-05-07,9780525559474,2
2025-05-07,9781668001226,3
2025-05-07,9780486415862,1
2025-05-07,9780593243732,2
2025-05-07,9780062671127,2
2025-05-07,9781524763169,1
2025-05-08,9781649374042,7
2025-05-08,9781649376268,3
2025-05-08,9780593655030,3
2025-05-08,9781501110375,2
2025-05-08,9780316485616,3
2025-05-08,9781635577808,2
2025-05-08,9780593237465,1
2025-05-08,9780486277826,1
2025-05-08,9780593230572,2
2025-05-08,9780812993547,1
